Cluster,X,Y
3,-6.030655427827744,7.010503797942845
2,1.44888315638322,5.649841687086858
2,5.2113349965879365,5.111332892148602
0,8.169049731285268,-3.0299071227666934
5,-6.7566857968809675,0.5102043195659359
5,-6.565675459872967,0.2973336285548338
3,-5.0923491919544706,7.200424641047177
7,-9.28377274405066,-4.471524504982716
0,8.885145705359779,-2.2490604605130797
6,-10.541767848895473,-5.948723542953223
3,-5.506572521654158,8.263395622666037
2,0.6103460300067965,5.7725565824761516
5,-6.844626556683794,2.816805579484466
2,2.032582043302664,7.39029735853357
5,-6.281572741488977,1.963486600037512
3,-5.940327664056213,6.911865678182817
1,-2.1441640008299574,-7.128425964118065
6,-9.399030024262046,-6.25470172375963
5,-6.125431629636202,0.6114205391465544
5,-7.934030674917173,0.7886638892853998
4,-2.5210597157758348,-5.649483192547743
5,-7.04507754597116,0.5028204100527853
2,0.6129780692693308,7.616598878360449
3,-4.671770336642955,6.283832305620696
2,5.589829746796195,5.656759640989779
4,-1.638857944279343,-6.684810364954274
5,-4.666402793064429,3.4744450802527207
3,-6.144072034711744,8.278247957604988
3,-6.009496128566912,6.044005611919553
5,-5.115102004473121,0.28117951013403775
2,1.4022725312998239,6.536648465842211
0,7.453905144594895,-2.3487483146233643
6,-9.76998462610464,-5.606464967712137
2,3.028781295935442,5.434296898768139
7,-9.733697132819552,-4.954599273480153
1,-2.6168397001603942,-7.2377294636490195
4,-2.10179595581607,-6.1309408957086555
6,-11.233416498082349,-4.838282619640285
0,6.448247672684789,-2.263343442406062
2,4.525515904394211,6.907481448617676
5,-5.35156777093551,1.6538445661621342
2,0.6527967077484407,6.441553664822511
7,-9.55779809552703,-4.604531114182436
0,6.555921843955836,-2.6902181118194446
4,0.39686869505627165,-7.842490421961816
4,-1.2620648937349035,-7.488811580837669
5,-6.601520568919867,0.20143230214103613
6,-10.075920488701113,-4.9967634922908015
5,-8.107888945193096,-0.35139808007572504
5,-7.573559675949921,0.6544486420612908
